,Major,Degree Type,Early Career Pay,Mid Career Pay,High Meaning
199,Occupational Health and Safety,Bachelors,"$59,900","$99,100",69%
200,Agribusiness,Bachelors,"$50,700","$98,900",53%
201,Business & Marketing,Bachelors,"$51,000","$98,900",45%
202,Computer Engineering Technology (CET),Bachelors,"$63,000","$98,900",47%
203,Computer Security,Bachelors,"$68,100","$98,700",43%
204,Operations & Supply Chain Management,Bachelors,"$61,300","$98,600",45%
205,Entomology,Bachelors,"$45,900","$98,500",-
206,Music Production & Engineering,Bachelors,"$43,100","$98,400",43%
207,Industrial Engineering Technology,Bachelors,"$67,200","$98,400",53%
208,Logistics & Supply Chain Management,Bachelors,"$59,000","$98,300",47%
209,Supply Chain Management,Bachelors,"$61,700","$98,300",41%
210,Accounts,Bachelors,"$59,800","$98,300",44%
211,Economics & Management,Bachelors,"$54,400","$98,200",-
212,Environmental Policy Analysis & Planning,Bachelors,"$51,000","$98,200",65%
213,Physical Therapy,Bachelors,"$55,500","$98,200",88%
214,European History,Bachelors,"$52,300","$98,000",47%
215,Robotics & Automation,Bachelors,"$66,100","$98,000",63%
216,Geological Engineering,Bachelors,"$61,700","$97,900",54%
217,Manufacturing Technology,Bachelors,"$59,900","$97,900",46%
218,Chemistry,Bachelors,"$51,600","$97,500",55%
219,Business Logistics & Transportation,Bachelors,"$56,400","$97,400",44%
220,Food Science & Technology,Bachelors,"$53,100","$97,300",49%
221,City & Regional Planning,Bachelors,"$51,800","$97,200",70%
222,Civil Engineering Technology (CET),Bachelors,"$58,300","$97,200",60%
223,Electronics Engineering Technology (EET),Bachelors,"$64,300","$97,100",50%
224,English & Psychology,Bachelors,"$42,600","$97,100",-
225,Finance & Banking,Bachelors,"$55,300","$97,100",47%
226,Mechanical Design,Bachelors,"$60,900","$97,100",45%
227,Applied Technology,Bachelors,"$55,500","$97,000",62%
228,Marketing & Management,Bachelors,"$50,000","$96,900",45%
229,Technical & Scientific Communication,Bachelors,"$50,700","$96,800",37%
230,Financial Planning,Bachelors,"$54,000","$96,600",63%
231,Organizational Behavior,Bachelors,"$57,000","$96,600",51%
232,Marketing,Bachelors,"$51,700","$96,600",40%
233,Dairy Science,Bachelors,"$51,200","$96,200",68%
234,Project Management,Bachelors,"$56,800","$96,200",58%
235,Government & International Politics (GVIP),Bachelors,"$51,300","$96,100",49%
236,Latin American Studies,Bachelors,"$46,700","$96,100",62%
237,Industrial Design (ID),Bachelors,"$55,100","$95,900",41%
238,Web Design & Development,Bachelors,"$53,100","$95,900",44%
239,Computing & Information Systems (CIS),Bachelors,"$58,100","$95,800",40%
240,Electromechanical Engineering,Bachelors,"$70,500","$95,800",55%
241,Industrial Technology (IT),Bachelors,"$62,200","$95,800",50%
242,Information Technology (IT) & Systems,Bachelors,"$61,100","$95,800",47%
243,Biopsychology,Bachelors,"$53,300","$95,700",74%
244,Government & Politics,Bachelors,"$52,400","$95,700",51%
245,Microbiology & Immunology,Bachelors,"$54,900","$95,400",68%
246,Chemistry & Environmental Science,Bachelors,"$48,200","$95,400",-
247,Interactive Media Design,Bachelors,"$54,000","$95,300",38%
248,Risk Management,Bachelors,"$58,500","$95,300",42%
249,Cell Biology,Bachelors,"$50,100","$95,200",59%
250,Aeronautics,Bachelors,"$62,800","$95,100",64%
251,Welding Engineering Technology,Bachelors,"$74,700","$95,000",42%
252,Finance & Management Information Systems,Bachelors,"$63,900","$94,800",-
253,Computer Science (CS) & Business,Bachelors,"$81,100","$94,600",28%
254,Environmental Science & Policy,Bachelors,"$49,500","$94,500",59%
255,Marketing & Communications,Bachelors,"$49,600","$94,500",45%
256,Safety Management,Bachelors,"$60,100","$94,500",70%
257,Business Technology Management,Bachelors,"$57,400","$94,400",42%
258,Computer Networking Systems,Bachelors,"$55,600","$94,400",49%
259,Biomedical Sciences,Bachelors,"$43,600","$94,300",70%
260,Philosophy,Bachelors,"$52,600","$94,300",41%
261,Sales & Marketing,Bachelors,"$52,700","$94,300",48%
262,Manufacturing Engineering Technology,Bachelors,"$66,000","$94,300",49%
263,Environmental Health & Safety,Bachelors,"$57,600","$94,200",68%
264,Organizational Psychology,Bachelors,"$51,200","$94,100",50%
265,Industrial Psychology,Bachelors,"$50,000","$94,000",50%
266,Political Science,Bachelors,"$50,700","$94,000",47%
267,Real Estate Development,Bachelors,"$57,100","$94,000",-
268,Social Ecology,Bachelors,"$49,000","$93,700",-
269,Risk Management & Insurance,Bachelors,"$59,500","$93,600",46%
270,Radiation Therapy,Bachelors,"$68,400","$93,400",90%
271,French Literature,Bachelors,"$46,400","$93,300",50%
272,Occupational Therapy (OT),Bachelors,"$54,100","$93,300",88%
273,Advertising,Bachelors,"$47,200","$93,200",32%
274,Accounting,Bachelors,"$54,800","$93,100",42%
275,Geology,Bachelors,"$50,400","$93,000",54%
276,Strategic Communication,Bachelors,"$47,100","$93,000",42%
277,Transportation & Logistics Management,Bachelors,"$57,600","$93,000",48%
278,Financial Accounting,Bachelors,"$56,100","$92,900",51%
